"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US45061920500","Census Tract 9205, Lee County, South Carolina","1562","292"
"1400000US45035010504","Census Tract 105.04, Dorchester County, South Carolina","8278","706"
"1400000US45045000400","Census Tract 4, Greenville County, South Carolina","1245","135"
"1400000US45077010804","Census Tract 108.04, Pickens County, South Carolina","3321","326"
"1400000US45003021300","Census Tract 213, Aiken County, South Carolina","4799","354"
"1400000US45091060700","Census Tract 607, York County, South Carolina","5665","531"
"1400000US45003020802","Census Tract 208.02, Aiken County, South Carolina","5437","435"
"1400000US45013002201","Census Tract 22.01, Beaufort County, South Carolina","7332","665"
"1400000US45047970800","Census Tract 9708, Greenwood County, South Carolina","8756","692"
"1400000US45015020723","Census Tract 207.23, Berkeley County, South Carolina","3226","251"
"1400000US45015020904","Census Tract 209.04, Berkeley County, South Carolina","4446","336"
"1400000US45085000901","Census Tract 9.01, Sumter County, South Carolina","4376","542"
"1400000US45019000900","Census Tract 9, Charleston County, South Carolina","1409","205"
"1400000US45047970900","Census Tract 9709, Greenwood County, South Carolina","1952","232"
"1400000US45063020802","Census Tract 208.02, Lexington County, South Carolina","2731","240"
"1400000US45045002604","Census Tract 26.04, Greenville County, South Carolina","5844","529"
"1400000US45063021026","Census Tract 210.26, Lexington County, South Carolina","4896","237"
"1400000US45051060301","Census Tract 603.01, Horry County, South Carolina","4563","399"
"1400000US45083023401","Census Tract 234.01, Spartanburg County, South Carolina","2389","244"
"1400000US45041001506","Census Tract 15.06, Florence County, South Carolina","2075","279"
"1400000US45007001100","Census Tract 11, Anderson County, South Carolina","5288","457"
"1400000US45067950200","Census Tract 9502, Marion County, South Carolina","5374","722"
"1400000US45019000200","Census Tract 2, Charleston County, South Carolina","1349","307"
"1400000US45057011202","Census Tract 112.02, Lancaster County, South Carolina","16251","786"
"1400000US45083020702","Census Tract 207.02, Spartanburg County, South Carolina","2246","228"
"1400000US45079011902","Census Tract 119.02, Richland County, South Carolina","4914","519"
"1400000US45013011300","Census Tract 113, Beaufort County, South Carolina","1016","201"
"1400000US45013011100","Census Tract 111, Beaufort County, South Carolina","2032","237"
"1400000US45051051302","Census Tract 513.02, Horry County, South Carolina","2640","315"
"1400000US45073030401","Census Tract 304.01, Oconee County, South Carolina","7336","554"
"1400000US45015980100","Census Tract 9801, Berkeley County, South Carolina","0","12"
"1400000US45083021600","Census Tract 216, Spartanburg County, South Carolina","3377","529"
"1400000US45007000600","Census Tract 6, Anderson County, South Carolina","3135","432"
"1400000US45045003303","Census Tract 33.03, Greenville County, South Carolina","5568","437"
"1400000US45051050500","Census Tract 505, Horry County, South Carolina","4895","547"
"1400000US45075011900","Census Tract 119, Orangeburg County, South Carolina","4022","434"
"1400000US45023020100","Census Tract 201, Chester County, South Carolina","1839","347"
"1400000US45077010601","Census Tract 106.01, Pickens County, South Carolina","3377","333"
"1400000US45035010820","Census Tract 108.20, Dorchester County, South Carolina","6848","474"
"1400000US45079011202","Census Tract 112.02, Richland County, South Carolina","3607","320"
"1400000US45067950400","Census Tract 9504, Marion County, South Carolina","3666","397"
"1400000US45019004611","Census Tract 46.11, Charleston County, South Carolina","9496","495"
